RECORDKEY,STT_CONT,CALL_L_CLASS_NAME,CALL_M_CLASS_NAME,CALL_L_CLASS_CD,CALL_M_CLASS_CD,CALL_START_TIME,CALL_END_TIME
1.81E+17," 디큐 인터넷 면세점 전정희입니다
네네네네네
무엇을 도와드릴까요
네
안녕하세요
고객님
네
인터넷 면세점에서 물건 결제했는데 요게 이제만 이게 품절 상품이 됐을 경우에 네
네네네네
네
이제 카드로 이제 변경할려고 하는데 만약에 이거를 제가 취소를 하면 바로 재고가 돌아오나요
네네네네
고객님 품절 상품이 경우에는 예
네
음
재고 복원 바로 어려울 수 있습니다
아 네
그
이제 고런게 어느 정도 시간 걸리는지는 아무도 모르시는 거죠
네
영업일 기준으로 한 삼사일 정도 소요될 수 있구요
음음
그 원래 같은 경우는 주말이다보니까
네
이게 전화상 바로 즉시 반영이 되는 게 아니구요
네 네 네
그 상품 담당자 브랜드 담당자들이 따로 문의도 올려야 되는 부분도 있기 때문에 네
아 네
바로 복원은 좀 어려울 것 같습니다
알겠습니다
감사드려요
네
아이이네
감사합니다
즐거운 시간 되세요
네
",상품,재고유무,2,207,2018-12-01 18:37,2018-12-01 18:38
1.81E+17,"아
 디큐 인터넷 면세점 김재선입니다
무엇을 도와드릴까요
네
수고 많으십니다
뭐 좀 여쭤볼게요
네
고객님
네
물건을 주문을 했는데 하고 난 후에요
네
인제 뭐 일시 품절이거나 재고가 없을 경우에 네
네 네
제가 만약에 뭐 환율이 뭐 많이 변동에 대해서 이제 주문을 할려고 하면 그 물건이 이제 제가 취소를 하고 새로 결제를 했을 때 그 재고가 바로 수량 복구가 되긴 되는지 좀 여쭤볼려구요
네
네
바로 복구가 될 수도 있고 안 될 수도 있으신데요
만약에 고객님이 오늘 주문하셔서 오늘 취소하시면서 제품에 그 매장에 그대로 있어서 이동이 안 되었다 그럴 때는 바로 복구가 되세요
네 네
네 네
그러신데 만약에 오늘 주문하신 거 다음날 취소하시잖아요
네 네
당일 취소 아니 건인데 제품이 매장이 있을 경우에는 카드 승인 취소가 영업일 기준이에서 삼일 정도 소요되시거든요
그래서 취소 그 재고 복구도 이 주에서 삼 일이 지나야 되시구요
네
아아 며칠 걸리나요
네 네
그리 다음에 이제 거기서 도착 제품에 그어 뭐 상태가 약간 이동이 되었다 그럴 때는 일주일 정도 거기서 세관 신고가 되거나 인도장에 도착되면은 영업일 기준 이주에서 삼주 정도가 소요가 되십니다
음음 아직까지 뭐 준비 중으로만 나오던데
그러시면 제가 먼저 한번 제품을 보고 확인을 해드려도 괜찮으실까요
네 네
네
저희 쪽에 등록하셨던 여권 번호나 아이디 확인 부탁드립니다
아이디에*에*치에스와 이 숫자 오이네 네
오 이번이신 거세요
예
고객님 성함 확인 부탁 드리겠습니다
네
*이*
예
*승* 고객님 본인 맞으십니까
네 네
예
주문내역 확인 위해서 생년월일 확인 부탁 드리겠습니다
*이 * 일*
네
소중한 정보 확인 감사드리구요
현재 상품 준비 중인 거 풀리셨을 꺼 두건 있으십니다
예
거기 여자 상품 구십 사이즈가 있는데요
네
잠시만요
한번 들어가서 확인을 해드릴께요
네 네
예
주문 일자가 이십구일 자이시잖아요
고객님
예
근데 고 사이에 또 뭐 카드 뭐 프로모션이나 뭐 그런 것 때문에 내일 주문을 할려고 하는데요
잠시만요
취소하고 네 네
여자 거라는데 사이즈 구십짜리 말씀하시는 거세요
예
그게 지금 아이디가 없더라고요
아 얘는 벌써 근데 얘는 고객님 취소하시면 영업일 이주에서 삼주 정도 소요돼서 지금 면장 발행이 되었어요
네
이미 예
아 그래요
그러면 그게 혹시 또 입고가 언제 되는지 지금 지금 알 수 있나요
아니면 지금 안 되나요
저희가 재고는 언제 입고되는지네
네
혹시 지금 말씀처럼 품절 상품이라 그러면 저희 쪽에서 정확한 확인은 안 되세요
네
고객님처럼 사이트에 들어가서 뭐 재입고 알람 신청하고 확인이 돼야 되는 건으로 되시거든요
네
아 제가 되고 있는 신청을 해놨는데 지금 출국이 바로 다음이라서 예 예
네 네
근데 지금 음 그러시게 오일로 되어 있으신데요
고객이 저희가 언제 입고될지는 정확한 확인은 안 되세요
네
고객님
아 그래요
그럼 거기 매장에 전화를 해봐야 되나요
네
예
매장에 한번 물어 보셔도 뭔지 아시긴 한데 정확하게는 아마 확인이 안 되실 거세요
고객님 대략적으로만 하시고 네 네
아 그런가요
아 네
일단은 잘 알겠습니다
그래서 이거는 지금 취소하시면 제 주문을 못 안하셔도 못하시게 되서 취소하시면 되실 것 같으신데요
네 네
그 이후에요
아인데요
아니 그 이거 지금 취소하시면 제가 상품중인데 이 중이지만 예
그 여자 거 제품이 면장을 발행되었다 그랬잖아요
네 네
그래서 일이 지금 취소하시면 고객님 이게 카드 승인 취소 영업일 이주에서 삼주 정도 소요돼서 여기에 사용하신 쿠폰 적립금엘 포인트도 유효기간 남은 것만이 삼주 뒤에 취소 완료 시점에서 복원이 되세요
어 뭐 어떻게 십일월 달에 주문한 거라서 쿠폰이나 그런 거는 제가 어제 오늘 날짜로 다시 또 부여를 받았으니까
네
네
상관은 없는데 네
아 따로
내일 그 뭐지 비씨카드는 행사가 있더라고요
예
아 그러십니까
아 그러십니까
예
현대카드 전용 혜택만 받으셨네요
그래서
따로 받으신 건 없으시구요
아 현대카드를 제가 몇 얼마를 적용을 받았어요
내일 삼백오십 불 이상하실 때 하셔서 이 십불 할인 혜택 받으셨어요
이만 이천 오백구십 사원이에요
아 그래요
고객님
비씨카드가 조금 더 혜택이 있고 환율이 또 지금 이렇게보다 더 많이 내렸더라구요
아 그러십니까
네 네
근데 얘를 취소하셔도 예
그래서
가 바로 복원은 안 되셔서 재고가 일단 들어와야 주문을 취소하시고 주문을 하실까
네 네
주문을 먼저 하신 다음에 취소를 진행을 해주셔야 되실 것 같아요
고객님
아 그렇게 해야 되나요
네
왜냐면 이해가 어차피 한 복원이 안되는 상태기 때문에 고객님이 지금 취소하셔도 뭐 어차피 구매는 안 되시는 건이거든요
네 네
아 신라 면세점 같은 경우는 취소하자마자어 그게 품절이더라도 바로 바로 재고가 떠가지고 다시 주문을 할 수 있게 나오더라고요
네
아 그러세요
네
어 그게 면장을 발행
근데 여기는 게 아니신가 봐요
전이라 그런 거 아니셨을까요
저희도 이게 지금
예전에 신라 면세점에서 네
이제 환율
따라서 주로 이제 취소를 좀 많이 했었거든요
그게 아마 일단 제가 말씀처럼 이 제품이 이동 전혀 쓰다에다 그러실 거세요
네 네
근데 이게 공교롭게 얘는 벌써 이동이 여유는 조금 있는데 아까 지금 제가 말씀드린 그 블랙야크 두개 중에 남대구짜리는 그냥 있어요
네 네 네
네 네 네
판매 매장에는데 얘는 벌써 여섯 290짜리는 보세 이동이 되었더라구요
아 그래요
네
그래서 그러신 것 같아요
네
고객님
아 네네
알겠습니다
네
감사합니다
행복한 하루 되십시오 네
네
감사합니다
",상품,재고유무,2,207,2018-12-01 10:27,2018-12-01 10:33
1.81E+17," 디큐 면세점 이은정입니다
네 네
세요
안녕하세요
이 상품이 좀 문의 드릴려고요
아예
고객님 뿐만네
매장 쪽으로 연결 도와드리고 있는데요
예
혹시 어느 지점 어떤 브랜드 찾으십니까
이게 이제 특정 브랜드 찾는 건 아닌데요
네
그로그인 잔디 아시죠
룰이
고객님 저희 수분 크림 장비 조금 따로 입 점은 안 되어 있습니다
아 그쪽 뭐 그런 경우에는 이런 거 파는 곳은 전혀 없어요
네 네 네
고객님 판매 품목으로는 따로 확인은 되지 않지만 물안경 판매되는 코드 자체는 없는 걸로 알고 있어요
아 그래요
수영복 이런 것도 없는 거예요
네
위에 고객님 수영복도 따로 입점 안 되어 있구요
아
아 알겠습니다
네
감사합니다
네
즐거운 하루 보내십시오
",상품,입점브랜드,2,209,2018-12-01 18:37,2018-12-01 18:37
1.81E+17," 디큐 면세점 김미균입니다
네 네
지금 본점에 와 있는데요
네
그 에스케이투 화장품이라 그런 건 없 몇 층에 가서 봐야 되나요
네
네
명동 본점에 거의 걸 화장품들은 십일층에 다 있어요
고객님 십이층은 거의 화장품 쪽으로 보시면 되십니다
팔칠이에요
네
알겠습니다
감사합니다
네
감사합니다
운행복한 오후 되십시오
네
",상품,입점브랜드,2,209,2018-12-01 14:24,2018-12-01 14:24
1.81E+17," 디큐 면세점 이은정입니다
안녕하세요
코엑스점 맥 화장품 매장으로 연결 좀 부탁드릴게요
네
코엑스점 맥이요
고객님 죄송하지만 코엑스점에는 맥 화장품 입점 안 되어 있습니다
네
아 아예
맥이 없어요
네네네네
소액이에요
아 네
알겠습니다
감사합니다
즐거운 하루 되십시오
네 네 네
",상품,입점브랜드,2,209,2018-12-01 18:42,2018-12-01 18:43
1.81E+17," 디큐 면세점 한미선입니다
네
문의 좀 할려고 하는데요
네 네
그 명동은 디큐 면세점이요
네 네
고객 처리 버치 가방이 파나요
잠시만 기다려 주시겠습니까
네
아 그러면 이요
네
기다려주셔서 감사드립니다
고객님 명동 본점에 토리 버치 가방 매장 입점되어 있습니다
아 그래요
네
혹시 몇아 몇 층에 있어요
십일 층으로 확인되고 있습니다
아 알겠습니다
감사합니다
좋은 하루 보내세요
네 네
",상품,입점브랜드,2,209,2018-12-01 14:29,2018-12-01 14:30
1.81E+17," 디큐 면세점 최고은입니다
네
뭐 좀 물어볼 게 있는데요
네 네
왜 그러는 닥스 매장으로 돼 있나요
맞으세요
네
저희 나스 같은 경우에 일부 지점에 입점되어 있습니다
혹시 어느 지점 확인하세요
아 그거 부산 본점이요
아 네
죄송하지만 부산 서면점에는 입점되어 있지는 않구요
저희 오프라인에 입점되어 있는 것은 서울에 있는 명동 본점과 월드 타워 점만 있습니다
아 그래요
혹시 그렇군요
네
그 인터넷 면세점에는 엘 포인트가 사용 가능한가요
인터넷 면세점이에요
네
아마 가능하지 않을까
싶긴 한데 죄송하지만 제가 인터넷 면세점 결제수단으로 확인이 어렵습니다
아 그러면 그거는 그 어디로 전화해서 확인해야 되죠
아 네
이 부분은 저희 일육팔팔 삼천번 선택 번호 일번으로 해 주셔서요
인터넷 면세점 문의 주시면 되세요
네
알겠습니다
감사합니다
똑같애요
좋은 하루 되십시오
네
",상품,입점브랜드,2,209,2018-12-01 18:51,2018-12-01 18:52
1.81E+17," 디큐 면세점 심윤경입니다
코엑스점에요
네 네
그러면 향수하는지 확인할 수 있나요
잠시만 기다려 주시겠습니까
브랜드명이 피케이라는 말씀이시죠
네
거라고 있는데요
십일일 예예
명동 본점 월드 타워 점 맞네요
코엑스 점은 없는 걸로 확인됩니다
월드 타워요
예
월드타워 점하고 명동 본점 이렇게 두 군데 있던데 있습니다
아 알겠습니다
네
감사합니다
네 네
좋은 하루 되십시오
",상품,입점브랜드,2,209,2018-12-01 18:53,2018-12-01 18:53
1.81E+17," 디큐 면세점 이은정입니다
네
안녕하세요
네
안녕하세요
고객님
네
혹시 디큐 면세점 소공점에도 노스웨스트 브랜드나요
브랜드명이 어떻게 되시나요
고객님 아 노스페이스 말씀이세요
노스페이스 예
노스페이스제
노스페이스에는 명동점에는 입 점이 안 되어 있습니다
어 잠실점이나 골드면은 나요
예
월드타워 점 코엑스점 입점되어 있습니다
아예
알겠습니다
감사합니다
즐거운 하루 보내십시오
네
예
",상품,입점브랜드,2,209,2018-12-01 18:59,2018-12-01 19:00
1.81E+17," 디큐 면세점 한미선입니다
아 혹시 그 디큐타워 점에 사오가 오백 매장 있나요
저희 디큐 면세점은 고객님 아직 다 없어 매장 입점 안 되어 있습니다
아 저기 디큐타워 말고 그러면 명동점에도 없나요
네
전체적으로 입점 안 되어 있습니다
아 다 없어요
네 네
아 혹시 그러면은 네
구매할 때 여권 꼭 지참해야 되나요
네
출국자 본인 본인 실물 여권 지참*주*야 되세요
아를 하지 말고요
네 네
아 네
알겠습니다
감사합니다
좋은 하루 보내세요
네
여기 없잖아요
",상품,입점브랜드,2,209,2018-12-01 14:39,2018-12-01 14:39
